serial,qa,qb,actualage,qc1,qc2,qe,qf,q1,q2,q3,q4,q5,q6,q7,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q10,q11,q121,q122,q123,q124,q125,q126,q127,q128,q129,q13,q13n,q14,q14n,q15,q15n,q16,q16n,q17,q17n,q18,q18n,q19,q19n,q20,q20n,q21,q21n,q22,q23,q24,q2501,q2502,q2503,q2504,q2505,q2506,q2507,q2508,q2509,q2510,q26_1_3,q26_1_4,q26_2_1,q26_2_2,q27,q28,q29,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q36,q37,q38,q39,q52,q53_5,qg,qh,qi,qj
1284,1,6,79,6,1,6,7,4,2,4,1,1,16,5,0,1,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,3,800,1,90,1,60,NA,NA,5,250,1,40,NA,NA,4,4,2,4,2,2,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,4,4,4,4,3,3,3,2,4,4,2,2,3,4,7,1,2
1285,2,2,25,6,1,4,7,3,2,3,1,7,23,7,0,0,0,0,0,0,0,0,1,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,9,NA,7,NA,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,2,9,3,4,3,2,3,2,2,3,3,5,1,3,4,9,5,2
1286,1,5,58,6,1,1,4,2,2,3,2,2,15,3,0,1,0,0,0,1,1,0,0,4,2,1,0,0,0,1,0,0,0,0,0,12,3000,9,475,4,230,2,1000,NA,NA,NA,NA,9,1250,9,9,3,6,7,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,3,4,5,4,5,2,2,2,3,4,1,1,3,4,6,5,1
1287,2,3,35,6,1,1,7,3,2,3,1,1,22,6,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,13,NA,7,350,3,150,NA,NA,13,NA,13,NA,NA,NA,7,7,2,4,3,2,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,2,2,5,4,4,4,2,3,3,3,3,2,1,2,3,2,6,2
1288,1,6,80,6,1,6,8,3,2,4,1,2,8,4,0,1,0,0,0,1,1,0,0,6,2,1,0,0,1,1,0,0,0,0,0,6,1700,4,220,2,137,2,1200,NA,NA,NA,NA,1,30,7,7,6,11,1,NA,2,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,5,5,2,5,4,5,4,2,4,4,3,4,2,2,3,2,7,3,2
1289,1,6,66,16,4,2,3,4,1,4,1,1,3,5,0,1,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,8,2000,13,NA,13,NA,1,800,NA,NA,NA,NA,4,300,5,5,2,3,6,1,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1,3,9,4,1,4,4,2,4,2,4,5,4,3,1,1,4,3,2
1292,1,5,57,4,3,1,6,4,1,3,1,3,23,6,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,0,0,0,0,6,1500,7,380,4,220,NA,NA,8,425,1,50,9,1200,7,7,5,10,3,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,5,7,4,4,3,5,2,4,3,2,4,3,2,2,3,5,3,2
1293,1,3,38,6,1,1,6,1,2,2,2,4,10,4,0,0,0,0,0,1,1,0,0,4,2,2,0,0,0,0,0,0,0,1,0,7,1900,3,180,1,90,NA,NA,11,550,1,80,NA,NA,6,6,3,6,4,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,4,3,4,4,4,3,3,3,3,4,1,2,NA,4,6,5,1
1294,1,1,23,23,3,4,7,4,2,4,1,3,5,3,0,1,1,0,0,0,0,1,0,3,2,6,0,0,0,0,0,0,0,1,0,12,3000,12,700,8,400,NA,NA,NA,NA,NA,NA,NA,NA,8,8,4,7,1,NA,2,0,0,0,0,0,0,0,0,1,0,3,NA,4,NA,1,5,9,4,2,3,4,2,2,2,4,4,2,3,5,1,7,5,2
1295,1,6,71,17,2,6,4,4,2,5,1,3,8,6,0,0,1,0,0,1,1,0,0,8,2,1,0,1,0,0,0,0,0,0,0,13,NA,4,240,3,190,7,NA,13,NA,13,NA,NA,NA,5,5,9,NA,1,NA,2,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,4,4,10,4,4,4,3,1,2,2,3,3,2,2,1,2,12,3,2
