Epoch,Iteration,nu,p,beta,eta,tau,error
0,17,0.5754497253289447,0.03291972398818005,0.8091697087488137,0.033223908234969714,0.0024158714523073283,123.5989652922452
38,88,0.6669515647945058,0.014392008975824197,0.7174965934054038,0,0,201.74029681824504
26,76,1,0.025428830857431254,0.5,0,0,257.87110701640756
37,87,1,0.06,0.5,0,0,821.234209540108
4,54,1,0.032654011694153204,1,0,0,1881.6771230801344
11,61,0,0.04652790089549098,1,0,0,2815.933255341652
13,63,1,0.053903118058308934,1,0,0,4617.010903018512
1,51,0,0.001,0.5,0.225,0,1000000
7,57,0,0.001,1,0,0.075,1000000
8,58,1,0.001,1,0,0,1000000
23,73,0.6446347156601612,0.001,0.5,0.225,0.04598249861621012,1000000
25,75,1,0.001,1,0.12139452148732034,0,1000000
44,94,0,0.001,0.8653405649618322,0.15569900811988321,0.075,1000000
50,100,0.7459470346741062,0.001,1,0.225,0.075,1000000
